year,month,day,amount_mm,days_agg,quality,date
2019,5,3,12.6,1,N,2019-05-03
2019,5,4,9.2,1,N,2019-05-04
2019,5,5,0.0,0,N,2019-05-05
2019,5,6,0.0,0,N,2019-05-06
2019,5,7,0.0,0,N,2019-05-07
2019,5,8,2.4,1,N,2019-05-08
2019,5,9,0.0,0,N,2019-05-09
2019,5,10,0.0,0,N,2019-05-10
2019,5,11,13.2,1,N,2019-05-11
2019,5,12,0.0,0,N,2019-05-12
2019,5,13,0.0,0,N,2019-05-13
2019,5,14,0.0,0,N,2019-05-14
2019,5,15,0.0,0,N,2019-05-15
2019,5,16,0.0,0,N,2019-05-16
2019,5,17,0.0,0,N,2019-05-17
2019,5,18,0.0,0,N,2019-05-18
2019,5,19,0.0,0,N,2019-05-19
2019,5,20,0.0,0,N,2019-05-20
2019,5,21,0.0,0,N,2019-05-21
2019,5,22,0.0,0,N,2019-05-22
2019,5,23,0.0,0,N,2019-05-23
2019,5,24,0.0,0,N,2019-05-24
2019,5,25,0.0,0,N,2019-05-25
2019,5,26,0.0,0,N,2019-05-26
2019,5,27,8.0,1,N,2019-05-27
2019,5,28,2.2,1,N,2019-05-28
2019,5,29,0.0,0,N,2019-05-29
2019,5,30,0.0,0,N,2019-05-30
2019,5,31,0.0,0,N,2019-05-31
2019,6,1,0.0,0,N,2019-06-01
2019,6,2,0.0,0,N,2019-06-02
2019,6,3,6.2,1,N,2019-06-03
2019,6,4,0.0,0,N,2019-06-04
2019,6,5,0.0,0,N,2019-06-05
2019,6,6,0.0,0,N,2019-06-06
2019,6,7,0.0,0,N,2019-06-07
2019,6,8,0.0,0,N,2019-06-08
2019,6,9,0.0,0,N,2019-06-09
2019,6,10,4.2,1,N,2019-06-10
2019,6,11,0.0,0,N,2019-06-11
2019,6,12,0.0,0,N,2019-06-12
2019,6,13,3.0,1,N,2019-06-13
2019,6,14,0.0,0,N,2019-06-14
2019,6,15,0.0,0,N,2019-06-15
2019,6,16,0.0,0,N,2019-06-16
2019,6,17,0.0,0,N,2019-06-17
2019,6,18,0.0,0,N,2019-06-18
2019,6,19,0.0,0,N,2019-06-19
2019,6,20,0.0,0,N,2019-06-20
2019,6,21,0.0,0,N,2019-06-21
2019,6,22,0.0,0,N,2019-06-22
2019,6,23,0.0,0,N,2019-06-23
