date,transaction,debit,credit
8/5/18,POS 15533600 08 MAY,0,231.5
9/5/18,POS 15533600 09 MAY,0,100
11/5/18,ACT GOV PARKING FEES,0,0
11/5/18,POS 15533600 11 MAY,0,164
12/5/18,POS 15533600 12 MAY,0,262.5
13/5/18,POS 15533600 13 MAY,0,199
14/5/18,Direct Credit 403697 AMEX,0,48
14/5/18,POS 15533600 14 MAY,0,249
15/5/18,POS 15533600 15 MAY,0,190.5
16/5/18,POS 15533600 16 MAY,0,30
17/5/18,SIGNWORLD (ACT) PTY MITCHELL,934,0
17/5/18,POS 15533600 17 MAY,0,51.5
18/5/18,POS 15533600 18 MAY,0,375
19/5/18,POS 15533600 19 MAY,0,374
20/5/18,POS 15533600 20 MAY,0,197
21/5/18,POS 15533600 21 MAY,0,102
22/5/18,POST GUNGAHLIN LPOGU GUNGAHLIN,533.39,0
22/5/18,Direct Credit 403697 AMEX,0,28
22/5/18,POS 15533600 22 MAY,0,116
23/5/18,Direct Credit 403697 AMEX,0,64
23/5/18,POS 15533600 23 MAY,0,152
24/5/18,POS 15533600 24 MAY,0,220.5
25/5/18,POS 15533600 25 MAY,0,188
26/5/18,POS 15533600 26 MAY,0,327
27/5/18,POS 15533600 27 MAY,0,207.5
28/5/18,POS 15533600 28 MAY,0,32
29/5/18,POS 15533600 29 MAY,0,76
30/5/18,POS 15533600 30 MAY,0,143
31/5/18,Wdl Branch Gungahlin,2000,0
31/5/18,POS 15533600 31 MAY,0,70
1/6/18,Direct Credit 403697 AMEX,0,55
1/6/18,POS 15533600 01 JUN,0,190
1/7/18,2018 OPENING BALANCE,0,0
1/7/18,POS 15533600 01 JUL,0,271.5
2/7/18,Direct Credit 403697 AMEX GR 20.00,0,0
2/7/18,CBA MERCHANT FEE,0,0
2/7/18,POS 15533600 02 JUL,0,112
3/7/18,Wdl ATM CBA ATM GUNGAHLIN B ACT 2915,2000,0
3/7/18,POS 15533600 03 JUL,0,135
4/7/18,POS 15533600 04 JUL,0,247.5
5/7/18,POS 15533600 05 JUL,0,557
6/7/18,POS 15533600 06 JUL,0,365.5
7/7/18,POS 15533600 07 JUL,0,167
8/7/18,POS 15533600 08 JUL,0,145
9/7/18,Direct Credit 403697 AMEX GR 22.00,0,22
9/7/18,POS 15533600 09 JUL,0,239.5
10/7/18,POS 15533600 10 JUL,0,181.5
11/7/18,POS 15533600 11 JUL,0,505
12/7/18,Wdl ATM CBA ATM GUNGAHLIN B ACT 2915,2000,0
12/7/18,Transfer to other Bank CommBank app,1058,0
12/7/18,POS 15533600 12 JUL,0,228
13/7/18,POST GUNGAHLIN LPO GUNGAHLIN,650.03,0
13/7/18,POS 15533600 13 JUL,0,520.5
14/7/18,POS 15533600 14 JUL,0,248
15/7/18,POS 15533600 15 JUL,0,214
16/7/18,POS 15533600 16 JUL,0,202
17/7/18,POS 15533600 17 JUL,0,385
18/7/18,POS 15533600 18 JUL,0,214
19/7/18,Direct Credit 403697 AMEX,0,61
19/7/18,POS 15533600 19 JUL,0,376
20/7/18,POS 15533600 20 JUL,0,381
